date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2019-10-28,sh.000002,3099.7390,3122.2040,3097.9040,3122.1200,3095.8050,17359663872,198733471744.0000,3,0.502611,1,0.850000,0
2019-10-29,sh.000002,3121.0570,3121.0570,3095.0230,3095.0230,3122.1200,16600774912,195220078592.0000,3,0.480408,1,-0.867900,0
2019-10-30,sh.000002,3090.0790,3094.1290,3074.7470,3079.4530,3095.0230,15870517504,181478940672.0000,3,0.459270,1,-0.503100,0
2019-10-31,sh.000002,3085.2620,3087.2540,3062.8910,3068.7170,3079.4530,16143797760,181731676160.0000,3,0.467178,1,-0.348600,0
2019-11-01,sh.000002,3063.7660,3101.0040,3056.2120,3099.2830,3068.7170,15975995136,175545622528.0000,3,0.462311,1,0.996051,0
2019-11-04,sh.000002,3105.9860,3125.3380,3105.9860,3117.3950,3099.2830,16710048512,188613410816.0000,3,0.483398,1,0.584393,0
2019-11-05,sh.000002,3119.7100,3151.8480,3109.5760,3134.2440,3117.3950,17973916672,203598032896.0000,3,0.519960,1,0.540483,0
2019-11-06,sh.000002,3134.7470,3138.4580,3111.3700,3120.6710,3134.2440,16508618752,183889932288.0000,3,0.477690,1,-0.433055,0
2019-11-07,sh.000002,3120.2080,3131.5290,3110.7100,3120.7610,3120.6710,13684995328,155767488512.0000,3,0.395986,1,0.002884,0
2019-11-08,sh.000002,3136.7850,3141.8030,3104.1090,3105.5210,3120.7610,14962030336,173791367168.0000,3,0.432888,1,-0.488342,0
2019-11-11,sh.000002,3090.5830,3090.5830,3045.3410,3048.6960,3105.5210,15777540096,166206238720.0000,3,0.456376,1,-1.829806,0
2019-11-12,sh.000002,3051.8680,3057.4440,3029.3520,3053.7960,3048.6960,12961701376,138999623680.0000,3,0.374802,1,0.167285,0
2019-11-13,sh.000002,3051.9080,3052.8210,3031.9540,3043.7610,3053.7960,12967772416,146896715776.0000,3,0.374977,1,-0.328607,0
2019-11-14,sh.000002,3046.3900,3056.5100,3037.8820,3048.6340,3043.7610,12905494784,151526346752.0000,3,0.373176,1,0.160098,0
2019-11-15,sh.000002,3050.1870,3057.0350,3029.1160,3029.2620,3048.6340,13541712384,152529530880.0000,3,0.391472,1,-0.635432,0
2019-11-18,sh.000002,3027.3800,3050.3040,3021.6430,3048.0270,3029.2620,12430941184,144611237888.0000,3,0.359201,1,0.619458,0
2019-11-19,sh.000002,3042.8590,3074.0050,3041.3680,3074.0050,3048.0270,13529475328,155702116352.0000,3,0.389745,1,0.852289,0
2019-11-20,sh.000002,3067.8330,3070.3370,3046.1220,3049.9420,3074.0050,13725884672,158487703552.0000,3,0.395402,1,-0.782790,0
2019-11-21,sh.000002,3041.0140,3049.2300,3029.4670,3042.1800,3049.9420,12338221312,139809103872.0000,3,0.355332,1,-0.254497,0
2019-11-22,sh.000002,3044.9200,3064.6130,3011.1140,3022.9700,3042.1800,15847076864,180500295680.0000,3,0.456362,1,-0.631455,0
2019-11-25,sh.000002,3023.3080,3045.3230,3018.0870,3044.8560,3022.9700,17838295296,174077984768.0000,3,0.513547,1,0.723990,0
2019-11-26,sh.000002,3051.5270,3054.1730,3036.1960,3046.0260,3044.8560,16958279680,165238673408.0000,3,0.488311,1,0.038425,0
2019-11-27,sh.000002,3044.2830,3053.7630,3031.6850,3041.9150,3046.0260,13369070848,137349881856.0000,3,0.384693,1,-0.134963,0
2019-11-28,sh.000002,3041.0440,3048.9020,3021.2420,3027.7980,3041.9150,11939980544,122547834880.0000,3,0.343552,1,-0.464083,0
2019-11-29,sh.000002,3023.8940,3030.7220,2995.3950,3009.4310,3027.7980,12227561984,140196040704.0000,3,0.351769,1,-0.606612,0
2019-12-02,sh.000002,3012.0180,3027.1580,3007.6320,3013.4790,3009.4310,12860835328,139277635584.0000,3,0.369874,1,0.134510,0
2019-12-03,sh.000002,3007.2530,3022.9310,2994.0830,3022.7660,3013.4790,12365407488,135217758208.0000,3,0.355674,1,0.308182,0
2019-12-04,sh.000002,3014.5860,3020.4520,3006.7430,3015.8820,3022.7660,12542464256,135817605120.0000,3,0.360761,1,-0.227738,0
2019-12-05,sh.000002,3024.7040,3040.8720,3023.1670,3038.1910,3015.8820,14298874368,159651745792.0000,3,0.411280,1,0.739717,0
2019-12-06,sh.000002,3041.1440,3051.3130,3033.2240,3051.3130,3038.1910,13400775936,149443616768.0000,3,0.385425,1,0.431902,0
2019-12-09,sh.000002,3053.8720,3059.2250,3044.1830,3053.8640,3051.3130,16063088384,174455005184.0000,3,0.461690,1,0.083603,0
2019-12-10,sh.000002,3048.0400,3058.8320,3041.6010,3056.8470,3053.8640,17001894400,180559917056.0000,3,0.488689,1,0.097680,0
2019-12-11,sh.000002,3062.4030,3068.3420,3054.4280,3064.3190,3056.8470,16543426304,175671529472.0000,3,0.475235,1,0.244435,0
2019-12-12,sh.000002,3066.3420,3066.3420,3052.8860,3055.2030,3064.3190,15166153216,165987553280.0000,3,0.435671,1,-0.297489,0
2019-12-13,sh.000002,3078.3860,3112.1390,3076.3220,3109.7010,3055.2030,21177521152,233923432448.0000,3,0.608481,1,1.783777,0
2019-12-16,sh.000002,3113.1610,3127.4810,3100.2700,3127.2230,3109.7010,21156724736,237514391552.0000,3,0.607754,1,0.563463,0
2019-12-17,sh.000002,3128.1300,3184.7870,3125.1790,3166.9960,3127.2230,29261357312,301885288448.0000,3,0.840460,1,1.271831,0
2019-12-18,sh.000002,3165.9820,3178.3190,3155.7640,3161.3660,3166.9960,24384421120,259057684480.0000,3,0.700305,1,-0.177771,0
2019-12-19,sh.000002,3161.4710,3165.9380,3151.8600,3161.3650,3161.3660,20841312000,220574547968.0000,3,0.598549,1,-0.000032,0
2019-12-20,sh.000002,3164.0700,3172.2710,3145.7830,3148.5880,3161.3650,21478675712,223165906944.0000,3,0.616829,1,-0.404161,0
2019-12-23,sh.000002,3142.3810,3153.2210,3101.9480,3104.3540,3148.5880,20552416000,218382770176.0000,3,0.589803,1,-1.404884,0
2019-12-24,sh.000002,3107.5890,3126.4650,3102.1820,3125.2620,3104.3540,16288131840,167298064384.0000,3,0.467593,1,0.673506,0
2019-12-25,sh.000002,3122.8900,3131.1440,3112.6440,3124.4040,3125.2620,17550203136,189545594880.0000,3,0.503394,1,-0.027454,0
2019-12-26,sh.000002,3123.7390,3151.1300,3122.8430,3151.1300,3124.4040,18228064000,195506515968.0000,3,0.522830,1,0.855395,0
2019-12-27,sh.000002,3150.6000,3181.3060,3147.2260,3148.6980,3151.1300,24690880512,258027020288.0000,3,0.708201,1,-0.077179,0
2019-12-30,sh.000002,3141.4850,3186.8320,3125.9420,3185.3820,3148.6980,24785073920,267260817408.0000,3,0.710529,1,1.165053,0
2019-12-31,sh.000002,3181.5670,3197.6080,3175.4080,3195.9760,3185.3820,21722320128,226626809856.0000,3,0.621748,1,0.332582,0
2020-01-02,sh.000002,3212.9820,3246.2430,3212.9820,3232.6890,3195.9760,29220482304,327034294272.0000,3,0.836366,1,1.148726,0
2020-01-03,sh.000002,3236.7070,3241.7430,3221.4900,3231.1880,3232.6890,26132472064,289904058368.0000,3,0.747979,1,-0.046432,0
2020-01-06,sh.000002,3217.6710,3255.7580,3211.8060,3230.7980,3231.1880,31236423424,331071782912.0000,3,0.891813,1,-0.012070,0
2020-01-07,sh.000002,3232.9770,3253.8990,3231.7550,3253.1910,3230.7980,27634243584,288009793536.0000,3,0.000000,1,0.693110,0
2020-01-08,sh.000002,3242.1020,3242.1020,3205.3010,3213.4320,3253.1910,29761774848,306383495168.0000,3,0.850031,1,-1.222154,0
2020-01-09,sh.000002,3229.9690,3245.3510,3227.3110,3242.7760,3213.4320,24322498816,271594283008.0000,3,0.694317,1,0.913167,0
2020-01-10,sh.000002,3250.5540,3253.6270,3228.6540,3240.0730,3242.7760,21029111040,241468608512.0000,3,0.600255,1,-0.083355,0
2020-01-13,sh.000002,3239.2710,3264.5810,3222.4250,3264.5810,3240.0730,21039898112,258343362560.0000,3,0.600551,1,0.756403,0
2020-01-14,sh.000002,3269.9330,3276.7490,3254.1410,3255.4100,3264.5810,22980594944,271431254016.0000,3,0.655714,1,-0.280924,0
2020-01-15,sh.000002,3251.5810,3256.6010,3229.4290,3237.8110,3255.4100,20212810240,232804646912.0000,3,0.576699,1,-0.540608,0
2020-01-16,sh.000002,3243.7960,3244.4630,3217.7510,3221.0980,3237.8110,20318276608,236709130240.0000,3,0.579701,1,-0.516182,0
2020-01-17,sh.000002,3228.8500,3239.8380,3213.8910,3222.5270,3221.0980,19016550400,242186846208.0000,3,0.542535,1,0.044364,0
2020-01-20,sh.000002,3229.4770,3244.3500,3217.2590,3243.8220,3222.5270,21032983296,271023476736.0000,3,0.599917,1,0.660817,0
2020-01-21,sh.000002,3233.3290,3233.3290,3197.1250,3198.0810,3243.8220,23463005696,286129635328.0000,3,0.668091,1,-1.410096,0
2020-01-22,sh.000002,3183.7650,3216.0620,3150.0040,3207.1200,3198.0810,22362587392,278313160704.0000,3,0.636446,1,0.282638,0
2020-01-23,sh.000002,3183.1930,3190.7050,3096.7190,3118.9170,3207.1200,27237514240,327241629696.0000,3,0.775179,1,-2.750225,0
2020-02-03,sh.000002,2846.7320,2899.0760,2846.7320,2878.1370,3118.9170,21541220352,256720289792.0000,3,0.611755,1,-7.719987,0
2020-02-04,sh.000002,2814.0050,2919.5910,2814.0050,2916.5710,2878.1370,36348440320,373761081344.0000,3,1.032270,1,1.335378,0
2020-02-05,sh.000002,2926.1070,2978.8250,2911.9260,2953.0100,2916.5710,30938531840,348967030784.0000,3,0.878427,1,1.249378,0
